relevant	tweet	tags
1	cve-2016-5184 pdfium in google chrome prior to 54.0.2840.59 for windows mac and linux 54.0.2840.85 for android	ID O O ORG PRO VER VER VER O PRO O O PRO VER O O
1	oracle vm virtualbox up to 5.0.31 5.1.13 shared folder unknown vulnerability	ORG PRO PRO VER VER VER VER O O VUL VUL
1	threatmeter vmware removes hard-coded root access key from vsphere data protection	O PRO O VUL VUL VUL VUL O PRO PRO PRO
1	oracle flexcube investor servicing 12.0.1 12.0.2 12.0.4 12.1.0 12.3.0 unknown vulnerability	ORG PRO O O VER VER VER VER VER VUL VUL
1	threatmeter oracle mysql server 5.5.53 5.6.34 5.7.16 ddl denial of service	O ORG PRO PRO VER VER VER O VUL VUL VUL
1	vuln linux kernel cve-2016-10088 incomplete fix multiple local memory corruption vulnerabilities	O PRO PRO ID O O VUL VUL VUL VUL VUL
1	vuln linux kernel cve-2016-10088 incomplete fix multiple local memory corruption vulnerabilities	O PRO PRO ID O O VUL VUL VUL VUL VUL
1	cve-2016-5220 pdfium in google chrome prior to 55.0.2883.75 for mac windows and linux and 55.0.2883.84 for andro	ID O O ORG PRO VER VER VER O O PRO O PRO O VER O O
1	cve-2016-5217 the extensions api in google chrome prior to 55.0.2883.75 for mac windows and linux and 55.0.2883	ID O O O O ORG PRO VER VER VER O O PRO O PRO O VER
1	cve-2016-5223 integer overflow in pdfium in google chrome prior to 55.0.2883.75 for mac windows and linux and 55	ID VUL VUL O O O ORG PRO VER VER VER O O PRO O PRO O O
1	linux kernel up to 4.8.12 net packet af packet.c denial of service	PRO PRO VER VER VER O O O O VUL VUL VUL
1	threatmeter fedora 24 1 tomcat 2016-a98c560116	O PRO VER O PRO O
1	suse sled12 sles12 security update recommended update for mariadb suse-su-2016 2933-1 nessus	PRO PRO PRO O O O O O PRO ID ID O
1	high rhsa-2017 0165 openstack-cinder security update	O ID ID O O O
1	threatmeter centos 7 resteasy-base cesa-2016 2604	O PRO VER O ID ID
1	threatmeter suse sled12 sles12 security update recommended update for mariadb suse-su-2016 2933-1	O PRO PRO PRO O O O O O PRO ID ID
1	vuln linux kernel arch x86 kvm vmx.c denial of service vulnerability bugtraq	O PRO PRO O VER O O VUL VUL VUL VUL O
1	vuln linux kernel arch x86 kvm vmx.c denial of service vulnerability bugtraq	O PRO PRO O VER O O VUL VUL VUL VUL O
1	vuln ibm mq appliance cve-2015-7420 information disclosure vulnerability vulnerable ibm websphere transformati	O ORG PRO PRO ID VUL VUL VUL O ORG O O
1	opensuse security update libxfixes opensuse-2016-1429 nessus	PRO O O O ID O
1	opensuse security update roundcubemail opensuse-2016-1419 nessus	PRO O O O ID O
1	redhat jboss bpm suite 6.3.2 bypass a restriction or similar csrf vulnerability	ORG PRO O O VER VUL VUL VUL VUL VUL VUL VUL
1	threatmeter oracle linux 7 gstreamer-plugins-bad-free elsa-2017-0018	O ORG PRO VER O ID
1	0daytoday sap netweaver as java p4 mspruntimeinterface information disclosure vulnerability 0day exploit	O ORG PRO O PRO O O VUL VUL VUL O O
1	threatmeter glsa-201701-51 dbd mysql multiple vulnerabilities	O ID O PRO VUL VUL
1	vuln drools cve-2016-7041 directory traversal vulnerability	O O ID VUL VUL VUL
1	vuln drools cve-2016-7041 directory traversal vulnerability	O O ID VUL VUL VUL
1	bugtraq security cve-2016-8745 apache tomcat information disclosure cve-2016-8745 apache tomcat information di	O O ID PRO PRO VUL VUL ID PRO PRO O O
1	vuln linux kernel cve-2016-10088 incomplete fix multiple local memory corruption vulnerabilities bugtraq	O PRO PRO ID O O VUL VUL VUL VUL VUL O
1	mongodb servers now a ransomware target	PRO O O O O O
1	zdi-17-057 oracle java uninitialized memory remote code execution vulnerability this vulnerability allows remote	ID ORG PRO VUL VUL VUL VUL VUL VUL O O O O
1	0daytoday linux kernel 4.4.0 af packet race condition privilege escalation exploit 0day exploit	O PRO PRO VER O O VUL VUL VUL VUL O O O
1	0daytoday linux kernel 4.4.0 af packet race condition privilege escalation exploit 0day exploit	O PRO PRO VER O O VUL VUL VUL VUL O O O
1	threatmeter vmware vsphere data protection 5.5.x 5.8.x 6.0.x 6.1.x ssh key weak authentication	O PRO PRO PRO PRO VER VER VER VER VUL VUL VUL VUL
1	threatmeter redhat jboss bpm suite 6.3.2 bypass a restriction or similar csrf vulnerability	O ORG PRO O O VER VUL VUL VUL VUL VUL VUL VUL
1	cve-2016-5211 a use after free in pdfium in google chrome prior to 55.0.2883.75 for mac windows and linux and 55	ID O VUL VUL VUL O O O ORG PRO VER VER VER O O PRO O PRO O O
1	linux.horsepill risk level very low type trojan.	VUL O O O O O O
1	threatmeter rhsa-2017 0061-1 important java-1.6.0-openjdk security update	O ID ID O PRO O O
1	threatmeter 0daytoday oracle openjdk runtime environment build 1.8.0 112-b15 denial of service exploit 0day	O O ORG PRO PRO PRO O VER O VUL VUL VUL VUL O
1	linux kernel 4.4.0 ubuntu 14.04 16.04 x86-64 af packet race condition privilege escalation cxsecurity	PRO PRO VER PRO VER VER VER O O VUL VUL VUL VUL O
1	threatmeter linux kernel 4.4.0 ubuntu 14.04 16.04 x86-64 af packet race condition privilege escalation	O PRO PRO VER PRO VER VER VER O O VUL VUL VUL VUL
1	threatmeter openstack mitaka-murano 2.0.0 execute code vulnerability	O PRO O VER VUL VUL VUL
1	local apache couchdb 2.0.0 local privilege escalation	O PRO PRO VER VUL VUL VUL
1	threatmeter chatnow 1.1 sql injection web vulnerability	O O VER VUL VUL VUL VUL
1	vuln sap netweaver as java getuseruddielements sql injection vulnerability sap netweaver as java getuseruddie	O ORG PRO O PRO O VUL VUL VUL ORG PRO O PRO O
1	vuln sap afaria multiple sql injection vulnerabilities	O ORG O VUL VUL VUL VUL
1	vuln sap afaria multiple sql injection vulnerabilities	O ORG O VUL VUL VUL VUL
1	openstack cinder 7.0.2 denial of service vulnerability	PRO O VER VUL VUL VUL VUL
1	vuln openstack oslo.middleware cve-2017-2592 information disclosure vulnerability	O PRO O ID VUL VUL VUL
1	vuln openstack oslo.middleware cve-2017-2592 information disclosure vulnerability	O PRO O ID VUL VUL VUL
1	threatmeter docker 1.12.6 fixes privilege escalation vulnerability	O PRO VER O VUL VUL VUL
1	threatmeter docker 1.12.6 fixes privilege escalation vulnerability	O PRO VER O VUL VUL VUL
1	vuln drools cve-2016-7041 directory traversal vulnerability bugtraq	O O ID VUL VUL VUL O
1	vuln linux kernel cve-2016-10153 local denial of service vulnerability linux kernel cve-2016-10153 local denial	O PRO PRO ID VUL VUL VUL VUL VUL PRO PRO ID O O
1	re oss-security docker 1.12.6 security advisory fulldisclosure	O O PRO VER ID ID O
1	rt granetman hacker held open mongodb databases for ransom by securityaffairs securityaffairs mongodb hac	O O O O O PRO PRO O O O O O PRO O
1	threatmeter cve-2016-5185 blink in google chrome prior to 54.0.2840.59 for windows mac and linux 54.0.2840.85	O ID O O ORG PRO VER VER VER O PRO O O PRO VER
1	threatmeter cve-2016-5184 pdfium in google chrome prior to 54.0.2840.59 for windows mac and linux 54.0.2840.85	O ID O O ORG PRO VER VER VER O PRO O O PRO VER
1	suse sles12 security update freeradius-server suse-su-2017 0102-1 nessus	PRO PRO O O O ID ID O
1	cve-2016-5198 v8 in google chrome prior to 54.0.2840.90 for linux and 54.0.2840.85 for android and 54.0.2840.87	ID O O ORG PRO VER VER VER O PRO O VER O O O VER
1	threatmeter cve-2016-9650 blink in google chrome prior to 55.0.2883.75 for mac windows and linux and 55.0.2883	O ID O O ORG PRO VER VER VER O O PRO O PRO O VER
1	ubuntu linux up to 15.04 overlayfs privilege escalation	PRO PRO VER VER VER O VUL VUL
1	threatmeter linux kernel 2.6.32-642 3.16.0-4 inode integer overflow	O PRO PRO VER VER O VUL VUL
1	suse sles11 security update libvncserver suse-su-2017 0104-1 nessus	PRO PRO O O O ID ID O
1	suse sles11 security update kvm suse-su-2016 2902-1 nessus	PRO PRO O O O ID ID O
