relevant	tweet	tags
1	threatmeter cve-2016-9312 ntpd in ntp before 4.2.8p9 when running on windows allows remote attackers to cause a	O ID PRO O PRO VER VER O O O PRO O VUL VUL O O O
1	cve-2016-3684 sap download manager 2.1.142 and earlier uses a hardcoded encryption key to protect stored data whi	ID ORG PRO PRO VER O O O O VUL VUL VUL O O O O O
1	cve-2016-7264 microsoft excel 2007 sp3 office compatibility pack sp3 excel viewer excel for mac 2011 and excel	ID ORG PRO VER VER PRO PRO PRO VER PRO PRO PRO O PRO VER O PRO
1	cve-2016-7291 microsoft word 2007 sp3 office 2010 sp2 word 2010 sp2 office compatibility pack sp3 word for mac	ID ORG PRO VER VER PRO VER VER PRO VER VER PRO PRO PRO VER PRO O PRO
1	medium rhsa-2016 2972 vim security update problem description an update for vim is now available for red hat	O ID ID O O O O O O O O O O O O O ORG ORG
1	red hat jboss flaw in drools workbench component lets remote authenticated users traverse the directory to view fi	ORG ORG PRO O O PRO O O O VUL VUL VUL VUL VUL VUL O O O
1	threatmeter cve-2016-9562 sap netweaver as java 7.4 allows remote attackers to cause a denial of service null po	O ID ORG PRO O PRO VER O VUL VUL O O O VUL VUL VUL O O
1	na cve-2016-5197 the content view client in google chrome prior the content view client in google chrome pr	O ID O O O O O ORG PRO O O O O O O ORG PRO O
1	cve-2016-7276 microsoft office 2007 sp3 office 2010 sp2 office 2013 sp1 office for mac 2011 and office 2016 fo	ID ORG PRO VER VER PRO VER VER PRO VER O PRO O PRO VER O PRO VER O
1	cve-2016-9312 ntpd in ntp before 4.2.8p9 when running on windows allows remote attackers to cause a denial of se	ID PRO O PRO VER VER O O O PRO O VUL VUL O O O VUL VUL VUL
1	cve-2016-7265 microsoft excel 2007 sp3 excel 2010 sp2 excel 2013 sp1 excel 2013 rt sp1 excel 2016 office comp	ID ORG PRO VER VER PRO VER VER PRO VER O PRO VER O O PRO VER PRO O
1	cve-2016-7262 microsoft excel 2007 sp3 excel 2010 sp2 excel 2013 sp1 excel 2013 rt sp1 excel 2016 office comp	ID ORG PRO VER VER PRO VER VER PRO VER O PRO VER O O PRO VER PRO O
1	google shuts off chrome sync api for third-party browsers on android citing a security vulnerability	ORG O O PRO O O O O O O PRO O O O O
1	na rhsa-2017 0057 flash-plugin security update problem description an update for flash-plugin is now availabl	O ID ID O O O O O O O O O O O O
1	microsoft office multiple flaws let remote users bypass security obtain potentially sensitive information and ex	ORG PRO O O O VUL VUL VUL VUL VUL VUL VUL VUL O O
1	threatmeter cve-2016-7284 microsoft internet explorer 10 and 11 allows remote attackers to obtain sensitive infor	O ID ORG PRO PRO VER O VER O VUL VUL O VUL VUL VUL
1	ibm sterling connect up to 4.5.00 4.5.01 4.6.0.6 ifix008 4.7.0.3 on windows denial of service	ORG PRO O VER VER VER VER VER O VER O PRO VUL VUL VUL
1	threatmeter ibm sterling connect up to 4.5.00 4.5.01 4.6.0.6 ifix008 4.7.0.3 on windows privilege escalation	O ORG PRO O VER VER VER VER VER O VER O PRO VUL VUL
1	threatmeter red hat jboss enterprise application platform server log download lets remote users deny service	O ORG ORG PRO PRO O PRO PRO O O O VUL VUL VUL VUL
1	mcafee application control 6.x lt 6.2.0.567 7.0.x lt 7.0.1.275 unauthorized ioctl use local privilege escalation	ORG O O VER O VER VER O VER VUL VUL VUL VUL VUL VUL
1	cve-2016-10005 webdynpro in sap solman 7.1 through 7.31 allows remote attackers to obtain sensitive information vi	ID O O ORG PRO VER VER VER O VUL VUL O VUL VUL VUL O
1	bugtraq rt-sa-2016-003 less.js compilation of untrusted less files may lead to code execution through the java	O ID O O O O O O O O O VUL VUL O O PRO
1	na cve-2016-7284 microsoft internet explorer 10 and 11 allows microsoft internet explorer 10 and 11 allows	O ID ORG PRO PRO VER O VER O ORG PRO PRO VER O VER O
1	threatmeter cve-2016-7279 microsoft internet explorer 9 through 11 and microsoft edge allow remote attackers to e	O ID ORG PRO PRO VER VER VER O ORG PRO O VUL VUL O O
1	threatmeter ibm sterling connect up to 4.5.00 4.5.01 4.6.0.6 ifix008 4.7.0.3 on windows denial of service	O ORG PRO O VER VER VER VER VER O VER O PRO VUL VUL VUL
1	adobe flash player multiple bugs let remote users obtain potentially sensitive information and execute arbitrary c	ORG PRO PRO VUL VUL O O O VUL VUL VUL VUL O VUL VUL O
1	threatmeter cve-2016-7281 the web workers implementation in microsoft internet explorer 10 and 11 and microsoft e	O ID O O O O O ORG PRO PRO VER O VER O ORG O
1	threatmeter cve-2016-1922 qemu aka quick emulator built with the tpr optimization for 32-bit windows guests sup	O ID O O O O O O O O O O VER PRO O O
1	cve-2016-7268 microsoft word 2007 sp3 office 2010 sp2 word 2010 sp2 office compatibility pack sp3 word viewer	ID ORG PRO VER VER PRO VER VER PRO VER VER PRO PRO PRO VER PRO PRO
1	cve-2016-7268 microsoft word 2007 sp3 office 2010 sp2 word 2010 sp2 office compatibility pack sp3 word viewer	ID ORG PRO VER VER PRO VER VER PRO VER VER PRO PRO PRO VER PRO PRO
1	cve-2016-7275 microsoft office 2010 sp2 2013 sp1 2013 rt sp1 and 2016 mishandles library loading which allows	ID ORG PRO VER VER VER O VER O O O VER O O O O O
1	cve-2016-7275 microsoft office 2010 sp2 2013 sp1 2013 rt sp1 and 2016 mishandles library loading which allows	ID ORG PRO VER VER VER O VER O O O VER O O O O O
1	rt dinosn walkthrough of cve-2016-7255 privesc with working poc for windows 7 8.1 10 and 2012 r2	O O O O ID O O O O O PRO VER VER VER O VER VER
1	threatmeter cve-2016-5193 google chrome prior to 54.0 for ios had insufficient validation of urls for windows ope	O ID ORG PRO VER VER VER O PRO O VUL VUL VUL VUL O PRO O
1	threatmeter microsoft issues critical patch security updates for windows office and more	O ORG O O O O O O PRO PRO O O
1	sansdallas keynote what s new for security in windows server 2016 and windows 10 by jasonfossen view details	O O O O O O O O PRO PRO VER O PRO VER O O O O
1	holding shift f10 during windows 10 updates opens root cli bypasses bitlocker	O O O O PRO VER O O VUL VUL O PRO
1	threatmeter mcafee virusscan enterprise for linux security flaws gives attackers root access	O ORG PRO PRO O PRO O O VUL VUL VUL VUL
1	vuln sap erp defence forces and public security remote authorization bypass vulnerability	O ORG PRO PRO O O O O VUL VUL VUL VUL
1	critical flaw in pricewaterhousecoopers sap security tool but pwc tries downplay it	O O O O ORG O O O O O O O
1	critical flaw in pricewaterhousecoopers sap security tool but pwc tries downplay it	O O O O ORG O O O O O O O
1	critical flaw in pricewaterhousecoopers sap security tool but pwc tries downplay it	O O O O ORG O O O O O O O
1	threatmeter holding shift f10 during windows 10 updates opens root cli bypasses bitlocker	O O O O O PRO VER O O VUL VUL O PRO
1	ios tvos watchos patches mcafee av scan vulnerabilities ransomware snowball marketing podcast securit	PRO O O O ORG O O O O O O O O
1	vuln sap erp defence forces and public security remote authorization bypass vulnerability bugtraq	O ORG PRO PRO O O O O VUL VUL VUL VUL O
1	critical flaw in pricewaterhousecoopers sap security tool but pwc tries downplay it securityaffairs	O O O O ORG PRO PRO O O O O O O
1	ms17-002 security update for microsoft office 3214291	ID O O O ORG PRO ID
1	ms16-148 security update for microsoft office 3204068	ID O O O ORG PRO ID
1	na vu 245327 mcafee virus scan enterprise contains multiple vulnerabilities vulnerability note vu 245327mcafee	O ID ID ORG PRO PRO PRO O VUL VUL O O ID ID
1	mcafee enterprise security manager privilege escalation cve-2016-8006	ORG PRO O PRO VUL VUL ID
1	ms16-155 security update for .net framework 3205640	ID O O O PRO PRO ID
1	ms16-152 security update for windows kernel 3199709	ID O O O PRO PRO ID
1	microsoft patches flaws in windows office edge	ORG O O O PRO PRO PRO
1	threatmeter cve-2016-5725 directory traversal vulnerability in jcraft jsch before 0.1.54 on windows when the mod	O ID VUL VUL VUL O O O VER VER O PRO O O O
1	adobe acrobat reader multiple flaws let remote users bypass security restrictions and execute arbitrary code	ORG PRO PRO O O O VUL VUL VUL VUL VUL VUL VUL VUL VUL
1	threatmeter adobe acrobat reader multiple flaws let remote users bypass security restrictions and execute arbitra	O ORG PRO PRO O O O VUL VUL VUL VUL VUL VUL VUL VUL
1	threatmeter ms17-002 security update for microsoft office 3214291	O ID O O O ORG PRO ID
1	threatmeter google chrome up to 54 spoofing cve-2016-5189	O ORG PRO VER VER VER VUL ID
